CB,Can bo,2014000100,Nguyen Van An,Truong phong,15|03|1975,5000000
TC,Tai chinh,2014000101,Tran Thi Bich,Ke toan,22|07|1980,4800000
HC,Hau can,2014000102,Le Van Cuong,Nhan vien,10|11|1985,3200000
TM,Tham muu,2014000103,Pham Thi Dung,Nhan vien,05|04|1990,3100000
NS,Nhan su,2014000104,Hoang Van Em,Nhan vien,19|09|1978,3300000
CT,Chinh tri,2014000105,Dang Thi Gai,Nhan vien,12|12|1982,4805000
KD,Kinh doanh,2014000106,Trinh Van Hung,Chuyen vien,30|06|1987,3400000
IT,Cong nghe thong tin,2014000107,Nguyen Thi Hong,Lap trinh vien,25|02|1993,4800000
MK,Marketing,2014000108,Le Van Khai,Chuyen vien,08|08|1980,3150000
CB,Can bo,2014000109,Pham Van Lan,Thu ky,14|05|1985,3100000
TC,Tai chinh,2009398413,Hoang Thi Minh,Ke toan,03|10|1979,4800000
NS,Nhan su,2014000110,Dang Van Ngoc,Nhan vien,27|01|1988,3300000
CT,Chinh tri,2014000111,Tran Thi Phuc,Nhan vien,16|04|1983,4805000
KD,Kinh doanh,2014000112,Nguyen Van Quynh,Quan ly du an,09|09|1992,4500000
IT,Cong nghe thong tin,2014000113,Le Thi Son,Lap trinh vien,21|11|1986,4200000
HC,Hau can,2014000114,Pham Van Tam,Nhan vien,07|06|1981,3200000
TM,Tham muu,2014000115,Hoang Thi Thang,Nhan vien,18|03|1977,3100000
CB,Can bo,2014000116,Dang Van Uyen,Tro ly,12|08|1989,3400000
TC,Tai chinh,2014000117,Tran Thi Vinh,Ke toan,29|10|1984,4800000
NS,Nhan su,2014000118,Nguyen Van Yen,Nhan vien,04|02|1990,3300000
CT,Chinh tri,2014000119,Le Thi Bao,Nhan vien,23|05|1976,4805000
KD,Kinh doanh,2014000120,Pham Van Cuc,Chuyen vien,11|07|1988,3500000
IT,Cong nghe thong tin,2014000121,Hoang Thi Dai,Lap trinh vien,17|09|1983,4300000
MK,Marketing,2014000122,Dang Van Hoa,Chuyen vien,06|12|1991,3200000
CB,Can bo,2014000123,Tran Thi Khoa,Thu ky,28|02|1985,3050000
TC,Tai chinh,2014000124,Nguyen Van Linh,Ke toan,15|04|1979,4800000
HC,Hau can,2014000125,Le Thi Manh,Nhan vien,09|06|1987,3200000
TM,Tham muu,2014000126,Pham Van Nga,Nhan vien,22|08|1982,3100000
NS,Nhan su,2014000127,Hoang Thi Phu,Nhan vien,14|10|1990,3300000
CT,Chinh tri,2014000128,Dang Van Quy,Nhan vien,03|12|1986,4805000
KD,Kinh doanh,2014000129,Tran Thi Sang,Chuyen vien,19|03|1981,3400000
IT,Cong nghe thong tin,2014000130,Nguyen Van Thao,Lap trinh vien,27|05|1989,4500000
MK,Marketing,2014000131,Le Thi Tien,Chuyen vien,11|07|1984,3100000
CB,Can bo,2014000132,Pham Van Uyen,Tro ly,05|09|1992,3400000
TC,Tai chinh,2014000133,Hoang Thi Xuan,Ke toan,23|11|1978,4800000
NS,Nhan su,2014000134,Dang Van Anh,Nhan vien,08|01|1985,3300000
CT,Chinh tri,2014000135,Tran Thi Binh,Nhan vien,16|03|1990,4805000
KD,Kinh doanh,2014000136,Nguyen Van Cam,Quan ly du an,12|05|1983,3500000
IT,Cong nghe thong tin,2014000137,Le Thi Dan,Lap trinh vien,29|07|1988,4200000
HC,Hau can,2014000138,Pham Van Diep,Nhan vien,04|09|1981,3200000
TM,Tham muu,2014000139,Hoang Thi Giang,Nhan vien,21|11|1986,3100000
NS,Nhan su,2014000140,Dang Van Huong,Nhan vien,09|01|1992,3300000
CT,Chinh tri,2014000141,Tran Thi Khang,Nhan vien,17|03|1979,4805000
CB,Can bo,2014000142,Nguyen Van Lan,Thu ky,06|05|1985,3050000
TC,Tai chinh,2014000143,Le Thi Nam,Ke toan,28|07|1990,4800000
KD,Kinh doanh,2014000144,Pham Van Oanh,Chuyen vien,14|09|1983,3400000
IT,Cong nghe thong tin,2014000145,Hoang Thi Phat,Lap trinh vien,03|11|1988,4300000
MK,Marketing,2014000146,Dang Van Quynh,Chuyen vien,22|01|1981,3100000
CB,Can bo,2014000147,Tran Thi Sy,Tro ly,11|03|1986,3400000
TC,Tai chinh,2014000148,Nguyen Van Thanh,Ke toan,05|05|1992,4800000
HC,Hau can,2014000149,Le Thi Thien,Nhan vien,23|07|1987,3200000
TM,Tham muu,2014000150,Pham Van Tuyet,Nhan vien,12|09|1982,3100000
NS,Nhan su,2014000151,Hoang Thi Viet,Nhan vien,04|11|1990,3300000
CT,Chinh tri,2014000152,Dang Van Xuan,Nhan vien,16|01|1985,4805000
CB,Can bo,2014000153,Tran Thi Bach,Thu ky,28|03|1979,3050000
TC,Tai chinh,2014000154,Nguyen Van Canh,Ke toan,09|05|1988,4800000
KD,Kinh doanh,2014000155,Le Thi Dao,Chuyen vien,21|07|1983,3400000
IT,Cong nghe thong tin,2014000156,Pham Van Hieu,Lap trinh vien,13|09|1991,4500000
MK,Marketing,2014000157,Hoang Thi Kim,Chuyen vien,05|11|1986,3100000
CB,Can bo,2014000158,Tran Thi Long,Tro ly,17|01|1982,3400000
TC,Tai chinh,2014000159,Nguyen Van Mai,Ke toan,29|03|1989,4800000
HC,Hau can,2014000160,Le Thi Nghia,Nhan vien,11|05|1984,3200000
TM,Tham muu,2014000161,Pham Van Nhu,Nhan vien,23|07|1990,3100000
NS,Nhan su,2014000162,Hoang Thi Phuoc,Nhan vien,04|09|1985,3300000
CT,Chinh tri,2014000163,Dang Van Sen,Nhan vien,16|11|1981,4805000
KD,Kinh doanh,2014000164,Tran Thi Tai,Chuyen vien,28|01|1987,3400000
IT,Cong nghe thong tin,2014000165,Nguyen Van Tham,Lap trinh vien,09|03|1992,4500000
MK,Marketing,2014000166,Le Thi Thanh,Chuyen vien,21|05|1986,3100000
CB,Can bo,2014000167,Pham Van Trang,Thu ky,12|07|1983,3050000
TC,Tai chinh,2014000168,Hoang Thi Tuan,Ke toan,04|09|1989,4800000
NS,Nhan su,2014000169,Dang Van Van,Nhan vien,16|11|1984,3300000
CT,Chinh tri,2014000170,Tran Thi Vinh,Nhan vien,28|01|1990,4805000
KD,Kinh doanh,2014000171,Nguyen Van Yen,Quan ly du an,09|03|1985,3500000
IT,Cong nghe thong tin,2014000172,Le Thi Be,Lap trinh vien,21|05|1981,4200000
HC,Hau can,2014000173,Pham Van Cuong,Nhan vien,12|07|1987,3200000
TM,Tham muu,2014000174,Hoang Thi Diem,Nhan vien,04|09|1982,3100000
NS,Nhan su,2014000175,Dang Van Duc,Nhan vien,16|11|1990,3300000
CT,Chinh tri,2014000176,Tran Thi Ha,Nhan vien,28|01|1986,4805000
CB,Can bo,2014000177,Nguyen Van Hiep,Thu ky,09|03|1983,3050000
TC,Tai chinh,2014000178,Le Thi Hong,Ke toan,21|05|1989,4800000
KD,Kinh doanh,2014000179,Pham Van Khanh,Chuyen vien,12|07|1984,3400000
IT,Cong nghe thong tin,2014000180,Hoang Thi Linh,Lap trinh vien,04|09|1991,4500000
MK,Marketing,2014000181,Dang Van Minh,Chuyen vien,16|11|1985,3100000
CB,Can bo,2014000182,Tran Thi Nga,Tro ly,28|01|1982,3400000
TC,Tai chinh,2014000183,Nguyen Van Phu,Ke toan,09|03|1988,4800000
HC,Hau can,2014000184,Le Thi Quy,Nhan vien,21|05|1983,3200000
TM,Tham muu,2014000185,Pham Van Son,Nhan vien,12|07|1990,3100000
NS,Nhan su,2014000186,Hoang Thi Tam,Nhan vien,04|09|1986,3300000
CT,Chinh tri,2014000187,Dang Van Thang,Nhan vien,16|11|1981,4805000
KD,Kinh doanh,2014000188,Tran Thi Thuy,Chuyen vien,28|01|1987,3400000
IT,Cong nghe thong tin,2014000189,Nguyen Van Toan,Lap trinh vien,09|03|1992,4500000
MK,Marketing,2014000190,Le Thi Uyen,Chuyen vien,21|05|1985,3100000
CB,Can bo,2014000191,Pham Van Vinh,Thu ky,12|07|1983,3050000
TC,Tai chinh,2014000192,Hoang Thi Xuan,Ke toan,04|09|1989,4800000
NS,Nhan su,2014000193,Dang Van Anh,Nhan vien,16|11|1984,3300000
CT,Chinh tri,2014000194,Tran Thi Be,Nhan vien,28|01|1990,4805000
KD,Kinh doanh,2014000195,Nguyen Van Cuong,Quan ly du an,09|03|1985,3500000
IT,Cong nghe thong tin,2014000196,Le Thi Diem,Lap trinh vien,21|05|1981,4200000
HC,Hau can,2014000197,Pham Van Duc,Nhan vien,12|07|1987,3200000
TM,Tham muu,2014000198,Hoang Thi Ha,Nhan vien,04|09|1982,3100000
NS,Nhan su,2014000199,Dang Van Hiep,Nhan vien,16|11|1990,3300000
CT,Chinh tri,2014000200,Tran Thi Hong,Nhan vien,28|01|1986,4805000
CB,Can bo,2014000201,Nguyen Van Khanh,Thu ky,09|03|1983,3050000
TC,Tai chinh,2014000202,Le Thi Linh,Ke toan,21|05|1989,4800000
KD,Kinh doanh,2014000203,Pham Van Minh,Chuyen vien,12|07|1984,3400000
IT,Cong nghe thong tin,2014000204,Hoang Thi Nga,Lap trinh vien,04|09|1991,4500000
MK,Marketing,2014000205,Dang Van Phu,Chuyen vien,16|11|1985,3100000
CB,Can bo,2014000206,Tran Thi Quy,Tro ly,28|01|1982,3400000
